ID,Alias,Name
1,Lex Luthor,Alexander Luthor Jr.
2,Joker,Joker
3,Magneto,Erik Lehnsherr
4,Thanos,Thanos
5,Doctor Doom,Victor Von Doom
6,Red Skull,Johann Schmidt
7,Catwoman,Selina Kyle
8,Green Goblin,Norman Osborn
9,Two-Face,Harvey Dent
10,Loki,Loki Laufeyson
11,Harley Quinn,Harleen Quinzel
12,Penguin,Oswald Cobblepot
13,Ra's al Ghul,Ra's al Ghul
14,Kingpin,Wilson Fisk
15,Ultron,Ultron
16,Darkseid,Darkseid
17,Deathstroke,Slade Wilson
18,Mysterio,Quentin Beck
19,Brainiac,Brainiac
20,Mr. Freeze,Victor Fries
21,The Riddler,Edward Nygma
22,Bane,Bane
23,Venom,Eddie Brock
24,Juggernaut,Cain Marko
25,Apocalypse,En Sabah Nur
26,Harpoon,Ahab
27,Mystique,Raven Darkhölme
28,Scarecrow,Jonathan Crane
29,Killmonger,Erik Killmonger
30,Zod,General Zod
31,Carnage,Cletus Kasady
32,Black Adam,Teth-Adam
33,Enchantress,June Moone
34,Dr. Octopus,Dr. Otto Octavius
35,Hela,Hela Odinsdottir
36,The Vulture,Adrian Toomes
37,Taskmaster,Tony Masters
38,Deadshot,Floyd Lawton
39,Baron Zemo,Helmut Zemo
40,Harbinger of Doom,Helmut Gruler
41,Kingpin,Wilson Fisk
42,Dark Phoenix,Jean Grey (as Dark Phoenix)
43,The Mandarin,Mandarin
44,Kang,Kang the Conqueror
45,Cheetah,Barbara Ann Minerva
46,Annihilus,Annihilus
47,Black Manta,David Hyde
48,Mr. Sinister,Nathaniel Essex
49,Clayface,Basil Karlo
50,The Tinkerer,Phineas Mason
